-12.00000,8.00000,-4.00000,-8.00000
0.00000,0.00000,0.00000,0.00000
-48.00000,32.00000,-16.00000,-32.00000
-95.96034,64.00000,-32.00000,-64.00000
-35.98513,24.00000,-12.00000,-24.00000
-95.96034,64.00000,-32.00000,-64.00000
-23.99008,16.00000,-8.00000,-16.00000
-11.99504,8.00000,-4.00000,-8.00000
47.98017,-32.00000,16.00000,32.00000
-11.99504,8.00000,-4.00000,-8.00000
12.00000,-8.00000,4.00000,8.00000
35.98513,-24.00000,12.00000,24.00000
-23.99008,16.00000,-8.00000,-16.00000
-12.00000,8.00000,-4.00000,-8.00000
24.00000,-16.00000,8.00000,16.00000
11.99504,-8.00000,4.00000,8.00000
17.99256,-12.00000,6.00000,12.00000
35.98513,-24.00000,12.00000,24.00000
48.00000,-32.00000,16.00000,32.00000
12.00000,-8.00000,4.00000,8.00000
